bloco;unidade;situacao;valor_tabela
1-SUN;101-SUN;Vendida;R$952.385,31
1-SUN;102-SUN;Vendida;R$1.027.473,07
1-SUN;103-SUN;Disponível;R$866.132,61
1-SUN;104-SUN;Vendida;R$805.514,54
1-SUN;105-SUN;Vendida;R$800.638,04
1-SUN;106-SUN;Disponível;R$849.569,03
1-SUN;201-SUN;Vendida;R$949.319,97
1-SUN;202-SUN;Vendida;R$864.826,63
1-SUN;203-SUN;Disponível;R$875.049,42
1-SUN;204-SUN;Vendida;R$813.687,67
1-SUN;205-SUN;Disponível;R$890.848,73
1-SUN;206-SUN;Vendida;R$801.450,44
1-SUN;301-SUN;Vendida;R$971.003,92
1-SUN;302-SUN;Vendida;R$873.402,09
1-SUN;303-SUN;Vendida;R$795.412,45
1-SUN;304-SUN;Vendida;R$912.746,55
1-SUN;305-SUN;Disponível;R$899.939,74
1-SUN;306-SUN;Bloqueada;R$810.862,37
1-SUN;401-SUN;Vendida;R$981.478,16
1-SUN;402-SUN;Vendida;R$881.359,44
1-SUN;403-SUN;Vendida;R$821.133,76
1-SUN;404-SUN;Vendida;R$921.823,23
1-SUN;405-SUN;Disponível;R$909.029,51
1-SUN;406-SUN;Bloqueada;R$819.286,26
1-SUN;501-SUN;Vendida;R$989.622,54
1-SUN;502-SUN;Vendida;R$889.954,84
1-SUN;503-SUN;Vendida;R$914.941,32
1-SUN;504-SUN;Vendida;R$837.640,75
1-SUN;505-SUN;Vendida;R$833.653,14
1-SUN;506-SUN;Disponível;R$885.648,69
1-SUN;601-SUN;Vendida;R$951.351,26
1-SUN;602-SUN;Vendida;R$898.523,13
1-SUN;603-SUN;Vendida;R$927.844,89
1-SUN;604-SUN;Vendida;R$852.324,49
1-SUN;605-SUN;Disponível;R$942.914,49
1-SUN;606-SUN;Disponível;R$931.871,99
1-SUN;701-SUN;Vendida;R$1.008.216,36
1-SUN;702-SUN;Vendida;R$907.090,26
1-SUN;703-SUN;Vendida;R$932.340,29
1-SUN;704-SUN;Vendida;R$853.997,96
1-SUN;705-SUN;Vendida;R$862.562,40
1-SUN;706-SUN;Vendida;R$928.489,16
1-SUN;801-SUN;Vendida;R$2.783.183,44
1-SUN;802-SUN;Vendida;R$2.613.966,57
1-SUN;Loja;Disponível;R$7.056.925,03
2-SHINE;101-SHINE;Vendida;R$798.902,36
2-SHINE;102-SHINE;Vendida;R$787.822,75
2-SHINE;103-SHINE;Vendida;R$797.092,49
2-SHINE;104-SHINE;Disponível;R$844.723,33
2-SHINE;105-SHINE;Vendida;R$764.800,27
2-SHINE;201-SHINE;Vendida;R$807.285,39
2-SHINE;202-SHINE;Vendida;R$808.448,89
2-SHINE;203-SHINE;Vendida;R$805.307,34
2-SHINE;204-SHINE;Vendida;R$853.297,61
2-SHINE;205-SHINE;Vendida;R$781.341,15
2-SHINE;301-SHINE;Vendida;R$815.232,10
2-SHINE;302-SHINE;Vendida;R$809.963,28
2-SHINE;303-SHINE;Vendida;R$844.995,99
2-SHINE;304-SHINE;Disponível;R$861.898,20
2-SHINE;305-SHINE;Bloqueada;R$781.489,62
2-SHINE;401-SHINE;Vendida;R$814.859,99
2-SHINE;402-SHINE;Vendida;R$825.358,17
2-SHINE;403-SHINE;Vendida;R$821.765,69
2-SHINE;404-SHINE;Vendida;R$870.471,29
2-SHINE;405-SHINE;Bloqueada;R$789.402,30
2-SHINE;501-SHINE;Vendida;R$823.126,43
2-SHINE;502-SHINE;Vendida;R$833.610,13
2-SHINE;503-SHINE;Vendida;R$829.979,34
2-SHINE;504-SHINE;Vendida;R$879.045,52
2-SHINE;505-SHINE;Vendida;R$805.260,84
2-SHINE;601-SHINE;Vendida;R$911.048,92
2-SHINE;602-SHINE;Vendida;R$895.124,07
2-SHINE;603-SHINE;Vendida;R$846.572,18
2-SHINE;604-SHINE;Vendida;R$931.047,56
2-SHINE;605-SHINE;Disponível;R$880.287,21
2-SHINE;701-SHINE;Vendida;R$849.067,94
2-SHINE;702-SHINE;Vendida;R$849.716,70
2-SHINE;703-SHINE;Vendida;R$837.026,48
2-SHINE;704-SHINE;Vendida;R$895.774,90
2-SHINE;705-SHINE;Disponível;R$914.289,70
2-SHINE;801-SHINE;Vendida;R$2.239.955,89
2-SHINE;802-SHINE;Vendida;R$2.481.985,12
